date,ticker,price
2026-06-23,TICK0083,261.26
2026-06-23,TICK0084,78.81
2026-06-23,TICK0085,485.84
2026-06-23,TICK0086,106.03
2026-06-23,TICK0087,166.97
2026-06-23,TICK0088,491.33
2026-06-23,TICK0089,237.04
2026-06-23,TICK0090,298.45
2026-06-23,TICK0091,167.31
2026-06-23,TICK0092,435.12
2026-06-23,TICK0093,117.97
2026-06-23,TICK0094,29.22
2026-06-23,TICK0095,96.77
2026-06-23,TICK0096,47.49
2026-06-23,TICK0097,270.21
2026-06-23,TICK0098,179.2
2026-06-23,TICK0099,89.23
2026-06-23,TICK0100,430.94
2026-06-23,TICK0101,374.17
2026-06-23,TICK0102,295.46
2026-06-23,TICK0103,381.57
2026-06-23,TICK0104,291.38
2026-06-23,TICK0105,352.56
2026-06-23,TICK0106,210.66
2026-06-23,TICK0107,134.77
2026-06-23,TICK0108,449.35
2026-06-23,TICK0109,343.17
2026-06-23,TICK0110,40.36
2026-06-23,TICK0111,415.73
2026-06-23,TICK0112,183.75
2026-06-23,TICK0113,197.02
2026-06-23,TICK0114,201.69
2026-06-23,TICK0115,207.87
2026-06-23,TICK0116,216.52
2026-06-23,TICK0117,216.65
2026-06-23,TICK0118,160.34
2026-06-23,TICK0119,133.77
2026-06-23,TICK0120,418.99
2026-06-23,TICK0121,187.0
2026-06-23,TICK0122,10.0
2026-06-23,TICK0123,172.53
2026-06-23,TICK0124,148.47
2026-06-23,TICK0125,43.02
2026-06-23,TICK0126,456.35
2026-06-23,TICK0127,180.61
2026-06-23,TICK0128,228.04
2026-06-23,TICK0129,107.3
2026-06-23,TICK0130,416.29
2026-06-23,TICK0131,216.48
2026-06-23,TICK0132,17.83
2026-06-23,TICK0133,82.16
2026-06-23,TICK0134,501.71
2026-06-23,TICK0135,347.54
2026-06-23,TICK0136,383.23
2026-06-23,TICK0137,142.97
2026-06-23,TICK0138,352.06
2026-06-23,TICK0139,53.44
2026-06-23,TICK0140,375.31
2026-06-23,TICK0141,14.44
2026-06-23,TICK0142,467.51
2026-06-23,TICK0143,64.69
2026-06-23,TICK0144,325.47
2026-06-23,TICK0145,278.66
2026-06-23,TICK0146,416.07
2026-06-23,TICK0147,451.01
2026-06-23,TICK0148,391.33
2026-06-23,TICK0149,483.21
2026-06-23,TICK0150,272.07
2026-06-23,TICK0151,400.21
2026-06-23,TICK0152,274.79
2026-06-23,TICK0153,125.89
2026-06-23,TICK0154,18.52
2026-06-23,TICK0155,277.03
2026-06-23,TICK0156,247.48
2026-06-23,TICK0157,357.32
2026-06-23,TICK0158,48.47
2026-06-23,TICK0159,283.3
2026-06-23,TICK0160,68.66
2026-06-23,TICK0161,362.52
2026-06-23,TICK0162,361.5
2026-06-23,TICK0163,374.76
2026-06-23,TICK0164,279.86
2026-06-23,TICK0165,495.4
2026-06-23,TICK0166,471.61
2026-06-23,TICK0167,263.75
2026-06-23,TICK0168,362.58
2026-06-23,TICK0169,374.34
2026-06-23,TICK0170,305.58
2026-06-23,TICK0171,347.45
2026-06-23,TICK0172,387.71
2026-06-23,TICK0173,242.23
2026-06-23,TICK0174,52.58
2026-06-23,TICK0175,57.45
2026-06-23,TICK0176,307.18
2026-06-23,TICK0177,465.32
2026-06-23,TICK0178,54.97
2026-06-23,TICK0179,159.42
2026-06-23,TICK0180,378.62
2026-06-23,TICK0181,403.92
2026-06-23,TICK0182,330.34
2026-06-23,TICK0183,455.39
2026-06-23,TICK0184,395.68
2026-06-23,TICK0185,289.88
2026-06-23,TICK0186,227.02
2026-06-23,TICK0187,219.57
2026-06-23,TICK0188,476.53
2026-06-23,TICK0189,93.08
2026-06-23,TICK0190,39.53
2026-06-23,TICK0191,147.18
2026-06-23,TICK0192,321.2
2026-06-23,TICK0193,308.51
2026-06-23,TICK0194,489.5
2026-06-23,TICK0195,10.65
2026-06-23,TICK0196,328.14
2026-06-23,TICK0197,187.61
2026-06-23,TICK0198,188.41
2026-06-23,TICK0199,156.06
2026-06-23,TICK0200,463.4
2026-07-06,TICK0001,183.01
2026-07-06,TICK0002,437.37
2026-07-06,TICK0003,402.55
2026-07-06,TICK0004,59.83
2026-07-06,TICK0005,327.0
2026-07-06,TICK0006,52.47
2026-07-06,TICK0007,478.73
2026-07-06,TICK0008,391.53
2026-07-06,TICK0009,219.55
2026-07-06,TICK0010,303.47
2026-07-06,TICK0011,450.72
2026-07-06,TICK0012,403.72
2026-07-06,TICK0013,236.05
2026-07-06,TICK0014,429.45
2026-07-06,TICK0015,446.78
2026-07-06,TICK0016,332.7
2026-07-06,TICK0017,54.67
2026-07-06,TICK0018,258.62
2026-07-06,TICK0019,492.09
2026-07-06,TICK0020,179.39
2026-07-06,TICK0021,254.23
2026-07-06,TICK0022,227.64
2026-07-06,TICK0023,427.19
2026-07-06,TICK0024,193.5
2026-07-06,TICK0025,336.44
2026-07-06,TICK0026,410.29
2026-07-06,TICK0027,468.22
2026-07-06,TICK0028,61.82
2026-07-06,TICK0029,126.66
2026-07-06,TICK0030,476.2
2026-07-06,TICK0031,149.09
2026-07-06,TICK0032,27.26
2026-07-06,TICK0033,407.97
2026-07-06,TICK0034,424.89
2026-07-06,TICK0035,248.43
2026-07-06,TICK0036,430.69
2026-07-06,TICK0037,114.75
2026-07-06,TICK0038,378.81
2026-07-06,TICK0039,464.89
2026-07-06,TICK0040,293.02
2026-07-06,TICK0041,473.17
2026-07-06,TICK0042,476.63
2026-07-06,TICK0043,471.63
2026-07-06,TICK0044,266.71
2026-07-06,TICK0045,18.53
2026-07-06,TICK0046,264.17
2026-07-06,TICK0047,378.72
2026-07-06,TICK0048,394.18
2026-07-06,TICK0049,437.97
2026-07-06,TICK0050,354.86
2026-07-06,TICK0051,222.87
2026-07-06,TICK0052,269.59
2026-07-06,TICK0053,40.51
2026-07-06,TICK0054,326.45
2026-07-06,TICK0055,406.57
2026-07-06,TICK0056,429.81
2026-07-06,TICK0057,364.99
2026-07-06,TICK0058,240.09
2026-07-06,TICK0059,319.69
2026-07-06,TICK0060,316.23
2026-07-06,TICK0061,71.68
2026-07-06,TICK0062,43.93
2026-07-06,TICK0063,266.48
2026-07-06,TICK0064,447.1
2026-07-06,TICK0065,465.32
2026-07-06,TICK0066,39.7
2026-07-06,TICK0067,402.4
2026-07-06,TICK0068,370.55
2026-07-06,TICK0069,77.38
2026-07-06,TICK0070,142.07
2026-07-06,TICK0071,134.74
2026-07-06,TICK0072,319.35
2026-07-06,TICK0073,204.49
2026-07-06,TICK0074,102.7
2026-07-06,TICK0075,198.19
2026-07-06,TICK0076,521.01
2026-07-06,TICK0077,341.0
2026-07-06,TICK0078,140.34
2026-07-06,TICK0079,168.93
2026-07-06,TICK0080,53.41
2026-07-06,TICK0081,372.92
2026-07-06,TICK0082,259.58
2026-07-06,TICK0083,247.73
2026-07-06,TICK0084,80.07
2026-07-06,TICK0085,452.11
2026-07-06,TICK0086,113.11
2026-07-06,TICK0087,170.24
2026-07-06,TICK0088,514.97
2026-07-06,TICK0089,244.61
2026-07-06,TICK0090,290.38
2026-07-06,TICK0091,164.92
2026-07-06,TICK0092,435.5
2026-07-06,TICK0093,117.41
2026-07-06,TICK0094,25.78
2026-07-06,TICK0095,97.91
2026-07-06,TICK0096,45.32
2026-07-06,TICK0097,252.41
2026-07-06,TICK0098,184.45
2026-07-06,TICK0099,91.32
2026-07-06,TICK0100,466.73
2026-07-06,TICK0101,380.7
2026-07-06,TICK0102,297.27
2026-07-06,TICK0103,373.9
2026-07-06,TICK0104,282.15
2026-07-06,TICK0105,341.93
2026-07-06,TICK0106,213.28
2026-07-06,TICK0107,135.14
2026-07-06,TICK0108,445.43
2026-07-06,TICK0109,359.04
2026-07-06,TICK0110,39.28
2026-07-06,TICK0111,416.52
2026-07-06,TICK0112,208.3
2026-07-06,TICK0113,199.31
2026-07-06,TICK0114,209.4
2026-07-06,TICK0115,193.92
2026-07-06,TICK0116,214.88
2026-07-06,TICK0117,216.59
2026-07-06,TICK0118,157.12
2026-07-06,TICK0119,134.3
2026-07-06,TICK0120,449.46
2026-07-06,TICK0121,177.68
2026-07-06,TICK0122,9.68
2026-07-06,TICK0123,165.88
2026-07-06,TICK0124,140.96
2026-07-06,TICK0125,41.87
2026-07-06,TICK0126,460.69
2026-07-06,TICK0127,190.07
2026-07-06,TICK0128,228.47
2026-07-06,TICK0129,109.23
2026-07-06,TICK0130,378.65
2026-07-06,TICK0131,218.76
2026-07-06,TICK0132,18.09
2026-07-06,TICK0133,83.21
2026-07-06,TICK0134,514.59
2026-07-06,TICK0135,341.23
2026-07-06,TICK0136,385.07
2026-07-06,TICK0137,134.56
2026-07-06,TICK0138,346.82
2026-07-06,TICK0139,51.34
2026-07-06,TICK0140,354.27
2026-07-06,TICK0141,14.87
2026-07-06,TICK0142,475.31
2026-07-06,TICK0143,65.12
2026-07-06,TICK0144,309.21
2026-07-06,TICK0145,268.94
2026-07-06,TICK0146,410.82
2026-07-06,TICK0147,441.03
2026-07-06,TICK0148,391.25
2026-07-06,TICK0149,472.36
2026-07-06,TICK0150,286.71
2026-07-06,TICK0151,403.55
2026-07-06,TICK0152,271.88
2026-07-06,TICK0153,118.66
2026-07-06,TICK0154,18.21
2026-07-06,TICK0155,274.96
2026-07-06,TICK0156,237.21
2026-07-06,TICK0157,351.65
2026-07-06,TICK0158,46.43
2026-07-06,TICK0159,278.93
2026-07-06,TICK0160,67.06
2026-07-06,TICK0161,365.44
2026-07-06,TICK0162,356.47
2026-07-06,TICK0163,392.29
2026-07-06,TICK0164,288.18
2026-07-06,TICK0165,469.41
2026-07-06,TICK0166,484.02
2026-07-06,TICK0167,264.08
2026-07-06,TICK0168,365.05
2026-07-06,TICK0169,368.09
2026-07-06,TICK0170,305.46
2026-07-06,TICK0171,351.97
2026-07-06,TICK0172,394.53
2026-07-06,TICK0173,239.45
2026-07-06,TICK0174,51.81
2026-07-06,TICK0175,54.28
2026-07-06,TICK0176,291.03
2026-07-06,TICK0177,413.16
2026-07-06,TICK0178,54.63
2026-07-06,TICK0179,152.34
2026-07-06,TICK0180,360.21
2026-07-06,TICK0181,407.89
2026-07-06,TICK0182,325.06
2026-07-06,TICK0183,445.03
2026-07-06,TICK0184,410.15
2026-07-06,TICK0185,271.43
2026-07-06,TICK0186,222.78
2026-07-06,TICK0187,231.54
2026-07-06,TICK0188,475.49
2026-07-06,TICK0189,92.91
2026-07-06,TICK0190,39.19
2026-07-06,TICK0191,142.76
2026-07-06,TICK0192,321.03
2026-07-06,TICK0193,310.72
2026-07-06,TICK0194,514.12
2026-07-06,TICK0195,11.09
2026-07-06,TICK0196,349.87
2026-07-06,TICK0197,189.24
2026-07-06,TICK0198,189.98
2026-07-06,TICK0199,152.34
2026-07-06,TICK0200,458.92
